,rank,Track Name,Artist,views,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,season,season1,year,year1,week,Precipitation,GDP,Suicide,Unemployment,population,temperature_ave,hi_temp,low_temp,time,date
0,1位,原宿いやほい,Kyary Pamyu Pamyu,2.0,0.662,0.975,-0.544,0.0318,0.063,0.0111,0.14800000000000000,0.8060000000000000,127.995,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
1,2位,LIFE/THRILLS,Metrik,1.96,0.518,0.77,-5.816,0.0609,0.00716,2.39E-05,0.516,0.487,173.87400000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
2,3位,ログマロープ,Natsuko Nisshoku,1.92,0.637,0.902,-4.841,0.0415,0.119,0.000174,0.344,0.7440000000000000,126.923,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
3,4位,Lady (feat. Pitbull),Austin Mahone,1.88,0.7510000000000000,0.8290000000000000,-4.9060000000000000,0.0832,0.16400000000000000,7.71E-05,0.341,0.672,125.958,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
4,5位,Say Something Loving,The xx,1.84,0.627,0.721,-7.782,0.0304,0.29600000000000000,6.41E-05,0.231,0.383,130.08,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
5,6位,スーパーカー,PASSEPIED,1.8,0.464,0.845,-3.791,0.0371,0.145,0.0077,0.239,0.662,171.83900000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
6,7位,Love at Night (feat. Juicy J),Austin Mahone,1.76,0.394,0.672,-6.654,0.0789,0.498,0.0,0.6990000000000000,0.693,127.796,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
7,8位,Reflection,Brian Eno,1.72,0.0645,0.0394,-29.481,0.0514,0.977,0.889,0.0749,0.0306,67.03400000000000,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
8,9位,KARATE - Live at Wembley,BABYMETAL,1.68,0.395,0.996,-2.881,0.135,6.42E-05,0.926,0.975,0.0637,90.046,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
9,10位,Gimme Chocolate!! - Live at Wembley,BABYMETAL,1.64,0.467,0.998,-2.889,0.168,5.77E-06,0.902,0.974,0.145,110.012,17年1月1週目,2017-01-01,2017年,2017,1週目,73.0510204081633,0.4,1815.0,3.0,126822.0,4.357142857142860,14.5102040816327,-4.12448979591837,1,1
